Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters,problem_size,connections_per_node,max_attempts,num_edges,run_number,group_timestamp,total_runtime
66,0.1314576250151731,500.0,751.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
67,0.13338112499332055,500.0,762.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
68,0.1352812080294825,500.0,773.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
69,0.1371690829982981,500.0,784.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
70,0.13909087498905137,500.0,795.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
71,0.14099216600880027,500.0,806.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
72,0.14284358301665634,500.0,817.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
73,0.14467795798555017,500.0,828.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
74,0.146668708010111,501.0,840.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
75,0.14851874997839332,501.0,851.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
76,0.1503514579962939,501.0,862.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
77,0.15222012501908466,501.0,873.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
78,0.15410929097561166,501.0,884.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
79,0.15605433302698657,501.0,895.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
80,0.15799370798049495,501.0,906.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
81,0.15983904100721702,501.0,917.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
82,0.1616827910183929,501.0,928.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
83,0.1635178750148043,501.0,939.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
84,0.16553837497485802,502.0,951.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
85,0.16743174998555332,502.0,962.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
86,0.16925612499471754,502.0,973.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
87,0.17106766602955759,502.0,984.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
88,0.17304183298256248,503.0,996.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
89,0.1748555829981342,503.0,1007.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
90,0.17687324999133125,503.0,1018.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
91,0.1789426250034012,503.0,1029.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
92,0.1808528330293484,503.0,1040.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
93,0.18272525002248585,503.0,1051.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
94,0.18456529098330066,503.0,1062.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
95,0.18659474997548386,505.0,1074.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
96,0.18845737498486415,505.0,1085.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
97,0.19031595799606293,505.0,1096.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
98,0.19217137497616932,505.0,1107.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
99,0.19407166598830372,505.0,1118.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
100,0.19597629102645442,505.0,1129.0,10,0.1,100,300,3,100,300,1,1719020139,35.090499332989566
0,0.0020771250128746033,453.0,10.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
1,0.006413082999642938,469.0,22.0,10,0.1,100,300,3,100,300,2,1719020139,35.74879737501033
