Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart,group_number,run_number,problem_size,max_iterations,max_attempts,max_restarts
1,0.060321250000001214,963.0,93.0,75,1,68,3,9,1000,10,100,75
1,0.060321250000001214,1053.0,94.0,75,1,69,3,9,1000,10,100,75
1,0.060321250000001214,998.0,96.0,75,1,70,3,9,1000,10,100,75
1,0.060321250000001214,1002.0,98.0,75,1,71,3,9,1000,10,100,75
1,0.060321250000001214,1010.0,99.0,75,1,72,3,9,1000,10,100,75
1,0.060321250000001214,1011.0,100.0,75,1,73,3,9,1000,10,100,75
1,0.060321250000001214,1014.0,102.0,75,1,74,3,9,1000,10,100,75
1,0.060321250000001214,1071.0,103.0,75,1,75,3,9,1000,10,100,75
0,0.034742375000000436,1057.0,0.0,75,1,0,3,10,1000,10,100,75
1,0.05468595800000031,1057.0,1.0,75,1,0,3,10,1000,10,100,75
